trade,aversion,seed,train_u,V_0,greedy_usd_oz,nohedge_usd_oz,pf_bound,bound_pass,mean_abs_q,cover_contracts,churn,fair,strike,reused,tag
202101,6.0,7,-0.576,-0.49201700091362,27.18,142.05,758.24,True,"[0.57, 0.0, 43.39]",43.96,312.5,1069.18,1061.18,True,202101
202102,6.0,7,-0.1326,-0.0400028675794601,36.87,123.87,765.09,True,"[2.43, 2.78, 30.49]",35.69,1475.0,1100.42,1092.42,False,202102
202103,6.0,7,-0.5715,-0.4663037657737732,-36.37,-73.18,751.02,True,"[4.86, 14.24, 15.07]",34.17,2543.8,1211.0,1203.0,True,202103
202104,6.0,7,-0.3838,-0.2429728358983993,214.8,-84.43,765.31,True,"[0.0, 1.11, 33.89]",35.0,500.0,1180.55,1172.55,True,202104
202105,6.0,7,-0.2917,-0.5097169280052185,-166.14,-198.15,768.28,True,"[7.85, 1.04, 18.12]",27.01,412.5,1217.45,1209.45,True,202105
202106,6.0,7,-0.5119,-0.3404672145843506,41.43,-196.08,808.98,True,"[5.0, 0.0, 31.39]",36.39,487.5,1180.7,1172.7,False,202106
202107,6.0,7,-0.4221,-0.3052207231521606,-98.03,-35.61,691.04,True,"[0.0, 0.0, 42.86]",42.86,531.2,1059.28,1051.28,True,202107
202108,6.0,7,-0.314,-0.5560435652732849,154.02,-5.65,730.94,True,"[16.46, 0.0, 13.68]",30.14,412.5,1053.33,1045.33,True,202108
202109,6.0,7,-0.662,-0.6225422620773315,-2.33,-54.74,631.75,True,"[6.67, 0.42, 26.39]",33.47,737.5,1008.54,1000.54,False,202109
202110,6.0,7,-0.5872,-0.6142213940620422,-17.81,34.96,605.85,True,"[5.49, 5.77, 28.78]",40.04,462.5,962.09,954.09,False,202110
202111,6.0,7,-0.1997,-0.4565979838371277,-45.11,37.89,607.29,True,"[15.21, 2.64, 14.44]",32.29,362.5,1017.36,1009.36,False,202111
202112,6.0,7,-0.6485,-0.6897912621498108,183.32,108.13,649.35,True,"[10.18, 0.0, 25.21]",35.39,856.2,946.98,938.98,True,202112
202201,6.0,7,-0.9198,-1.1699366569519043,38.61,14.59,657.46,True,"[1.21, 2.27, 15.91]",19.39,500.0,960.68,952.68,False,202201
202202,6.0,7,-0.4535,-0.4064622819423675,-138.42,-53.3,671.06,True,"[8.22, 0.0, 11.94]",20.15,343.8,1016.87,1008.87,True,202202
202203,6.0,7,-0.7131,-0.4919495582580566,117.93,-99.72,764.6,True,"[16.92, 9.27, 12.01]",38.2,1518.8,1063.14,1055.14,False,202203
202204,6.0,7,-0.5886,-0.6544615030288696,-16.26,-115.68,647.84,True,"[3.09, 6.18, 9.06]",18.33,981.2,994.87,986.87,True,202204
202205,6.0,7,-0.2554,-0.2101529836654663,38.67,-0.87,687.6,True,"[5.06, 0.0, 8.43]",13.48,287.5,920.23,912.23,False,202205
202206,6.0,7,-0.2543,-0.0007573573384433,27.02,-74.35,661.69,True,"[4.9, 2.98, 16.12]",24.01,912.5,962.71,954.71,False,202206
202207,6.0,7,-1.0935,-0.707861065864563,-87.55,10.84,619.8,True,"[3.69, 2.7, 25.57]",31.96,856.2,905.36,897.36,True,202207
202208,6.0,7,-0.4714,-0.2972928881645202,22.1,99.31,636.88,True,"[9.81, 1.45, 6.69]",17.95,650.0,893.97,885.97,False,202208
202209,6.0,7,-1.193,-0.8583771586418152,-8.46,167.5,608.84,True,"[8.33, 7.81, 20.31]",36.46,693.8,850.67,842.67,False,202209
202210,6.0,7,-0.0041,0.0393929928541183,78.22,207.83,675.46,True,"[3.35, 2.98, 41.07]",47.4,1300.0,857.8,849.8,False,202210
202211,6.0,7,1.9377,0.1049860417842865,-5.4,43.84,654.87,True,"[0.0, 15.66, 17.47]",33.13,300.0,927.77,919.77,False,202211
202212,6.0,7,0.1865,-0.16876220703125,78.21,-59.89,678.57,True,"[1.76, 8.82, 24.12]",34.71,300.0,1039.03,1031.03,False,202212
