tag,greedy_usd_oz,nohedge_usd_oz,bound_pass,churn,market_dim,V_0,train_u
202001,-94.52,-194.35,True,125.0,7,-0.36125558614730835,-0.3841
202002,-47.71,-172.13,True,112.5,7,-0.4024149477481842,-0.351
202003,-31.43,-49.94,True,243.8,7,-0.6039732694625854,-0.6339
202004,49.13,135.4,True,218.8,7,-0.3115214705467224,-0.3645
202005,144.44,169.58,True,62.5,7,-0.26676416397094727,-0.1869
202006,90.91,87.3,True,181.2,7,-0.08553402125835419,-0.1207
202007,62.95,62.96,True,306.2,7,-0.6445111036300659,-0.6691
202008,-18.75,1.36,True,262.5,7,-0.3594949245452881,-0.3102
202009,26.24,89.72,True,412.5,7,-0.44086527824401855,-0.4703
202010,8.38,210.46,True,187.5,7,-0.35552144050598145,-0.3938
202011,162.08,352.15,True,193.8,7,-0.4951605498790741,-0.3445
202012,32.61,213.82,True,375.0,7,-0.29755038022994995,-0.2668
202101,-2.79,142.05,True,512.5,7,-0.45012781023979187,-0.4744
202102,244.04,123.87,True,250.0,7,-0.014714119955897331,0.0574
202103,60.54,-73.18,True,150.0,7,-0.4848952293395996,-0.4905
202104,-11.61,-84.43,True,375.0,7,-0.3467833995819092,-0.438
202105,-127.46,-198.15,True,231.2,7,-0.44721823930740356,-0.2923
202106,-98.49,-196.08,True,300.0,7,-0.43284350633621216,-0.4498
202201,-0.85,14.59,True,431.2,7,-0.7551209926605225,-0.7988
202202,-117.75,-53.3,True,225.0,7,-0.3611088991165161,-0.4142
202203,23.77,-99.72,True,381.2,7,-0.5324318408966064,-0.655
202204,-91.03,-115.68,True,400.0,7,-0.4887111783027649,-0.6116
202205,88.44,-0.87,True,175.0,7,-0.22977545857429504,-0.2737
202206,-33.82,-74.35,True,425.0,7,-0.16344431042671204,-0.2872
202207,-62.27,10.84,True,400.0,7,-0.7070112824440002,-0.9579
202208,8.95,99.31,True,293.8,7,-0.3565026521682739,-0.4246
202209,-42.75,167.5,True,387.5,7,-0.9177881479263306,-1.139
202210,139.67,207.83,True,150.0,7,0.0809093490242958,0.0142
202211,44.44,43.84,True,300.0,7,-0.016958825290203094,1.5016
202212,-27.4,-59.89,True,225.0,7,-0.1987825632095337,0.1127
202301,-10.04,24.47,True,200.0,7,-0.154405415058136,-0.3417
202302,-13.36,61.45,True,250.0,7,-0.0773913562297821,-0.1844
202303,154.0,12.24,True,81.2,7,-0.44378453493118286,-0.3603
202304,102.26,-41.09,True,168.8,7,-0.6290291547775269,-0.8818
202305,25.39,-141.85,True,450.0,7,-0.2424241006374359,-0.5899
202306,21.15,-80.88,True,187.5,7,-0.41752541065216064,-0.3669
