tag,band,net_reloc_oz,net_naive_at_realistic_oz,reloc_value_oz,flat10_at_flat10_oz
202001,015,-1.0863,16.1392,-17.2255,18.3
202002,015,-47.2301,-43.6848,-3.5452,-42.66
202003,015,-27.2464,-24.2255,-3.0208,-22.34
202004,015,-12.2748,-14.4675,2.1927,-12.78
202005,015,64.8655,57.8628,7.0028,59.95
202006,015,100.9207,86.1692,14.7515,89.05
202007,015,45.6589,34.6605,10.9984,38.0
202008,015,-10.5414,1.598,-12.1394,3.92
202009,015,17.3646,12.7735,4.5911,16.23
202010,015,9.7198,22.5203,-12.8005,25.59
202011,015,76.4826,69.3797,7.1029,71.85
202012,015,106.2937,49.6418,56.6518,53.7
202101,015,69.9963,16.1833,53.813,20.39
202102,015,58.0512,67.9934,-9.9422,70.96
202103,015,24.1816,8.5826,15.599,11.29
202104,015,62.0543,50.4624,11.5919,53.53
202105,015,0.4592,-1.8101,2.2693,1.27
202106,015,26.5614,18.2231,8.3384,21.64
202107,015,2.195,8.2155,-6.0205,12.05
202108,015,22.2928,24.3679,-2.0751,25.71
202109,015,8.9029,5.5164,3.3865,9.11
202110,015,19.8498,10.1663,9.6834,14.35
202111,015,-11.057,-10.1982,-0.8588,-9.01
202112,015,11.9672,13.4125,-1.4452,16.67
202201,015,-2.8296,-1.5544,-1.2752,-0.75
202202,015,4.4878,3.1051,1.3827,5.02
202203,015,4.8769,4.9448,-0.0679,5.72
202204,015,-13.8363,-15.6165,1.7802,-15.39
202205,015,44.0899,42.7949,1.295,44.75
202206,015,41.7608,31.1397,10.6211,31.83
202207,015,-58.9657,-58.3827,-0.5831,-57.68
202208,015,4.5843,-9.101,13.6852,-6.74
202209,015,-20.6386,-21.1246,0.486,-19.29
202210,015,59.6642,59.6642,0.0,62.29
202211,015,93.6903,95.9528,-2.2624,98.17
202212,015,4.4725,6.305,-1.8325,8.78
202301,015,41.1566,40.7418,0.4148,43.36
202302,015,8.9101,3.9994,4.9107,5.73
202303,015,24.0687,23.5246,0.5442,25.19
202304,015,-3.0444,3.7526,-6.797,5.83
202305,015,17.9687,14.8625,3.1062,17.96
202306,015,12.6525,12.6525,0.0,14.81
202307,015,-3.6851,-3.6851,0.0,-1.53
202308,015,14.6024,34.7988,-20.1964,36.25
202309,015,-16.6653,-16.2452,-0.4201,-14.93
202310,015,0.3948,1.0696,-0.6748,2.57
202311,015,6.5103,-0.1505,6.6608,1.17
202312,015,-6.6938,-6.6938,0.0,-4.69
202001,060,-116.6717,-78.5397,-38.132,-76.95
202002,060,-95.9642,-82.4235,-13.5407,-81.23
202003,060,-35.0458,-21.6997,-13.3461,-19.23
202004,060,6.0597,7.6415,-1.5818,9.08
202005,060,117.8491,95.7613,22.0878,96.98
202006,060,141.6382,127.059,14.5791,129.74
202007,060,78.9084,56.8568,22.0516,62.43
202008,060,-33.1894,-15.1282,-18.0612,-11.36
202009,060,48.5773,14.5043,34.073,22.96
202010,060,-9.5279,6.7439,-16.2718,11.17
202011,060,193.5054,106.4978,87.0077,110.62
202012,060,132.679,12.2859,120.3931,21.57
202101,060,77.186,2.4856,74.7004,11.45
202102,060,120.3986,157.2956,-36.897,162.95
202103,060,59.3395,34.384,24.9555,39.42
202104,060,19.0185,80.1179,-61.0994,87.23
202105,060,-97.9178,-85.9402,-11.9776,-81.43
202106,060,-55.9017,-61.3494,5.4478,-55.97
202107,060,-40.5573,-13.8932,-26.6642,-7.22
202108,060,79.8514,74.1598,5.6916,76.71
202109,060,32.7705,-20.0605,52.831,-14.9
202110,060,-6.018,-12.4722,6.4542,-5.77
202111,060,-40.8463,-41.3388,0.4925,-38.55
202112,060,146.5043,145.0263,1.4779,151.0
202201,060,-0.9063,12.8619,-13.7682,18.09
202202,060,-66.4097,-64.3795,-2.0302,-61.34
202203,060,7.6579,11.9794,-4.3215,16.72
202204,060,-55.2159,-52.5937,-2.6223,-50.35
202205,060,104.8583,87.8781,16.9802,90.37
202206,060,38.6466,16.9693,21.6774,20.72
202207,060,-36.8261,-47.4326,10.6065,-44.61
202208,060,52.3116,45.3757,6.936,50.62
202209,060,-23.2886,-10.8521,-12.4365,-5.17
202210,060,99.9734,99.9734,0.0,103.5
202211,060,68.9942,78.421,-9.4268,81.57
202212,060,-8.5992,-7.558,-1.0413,-3.95
202301,060,-1.4318,-3.1598,1.728,0.94
202302,060,-19.6822,-9.3439,-10.3383,-6.45
202303,060,121.6761,119.4855,2.1906,121.49
202304,060,53.1592,57.0211,-3.8619,60.26
202305,060,22.7009,20.9667,1.7342,25.71
202306,060,5.8656,5.8656,0.0,8.92
202307,060,-3.9961,-6.3961,2.4,-3.17
202308,060,39.3437,46.8158,-7.4721,48.22
202309,060,-33.498,-36.6055,3.1075,-34.21
202310,060,27.0745,28.097,-1.0226,30.73
202311,060,15.425,-5.5921,21.0171,-3.86
202312,060,25.8784,29.555,-3.6766,32.01
