month,band,mode,greedy,nohedge,bound,PASS,churn,breaches,train_u_s7,train_u_s42,train_u_s314
202008,0.4,train-in,-45.17,1.36,637.15,True,175.0,0,-0.3712,-0.4395,-0.3963
202011,0.4,train-in,62.21,352.15,685.55,True,187.5,0,-0.3883,-0.3544,-0.5123
202102,0.4,train-in,130.66,123.87,765.09,True,112.5,0,0.0331,0.0082,0.0252
202102,0.6,train-in,162.33,123.87,765.09,True,100.0,0,0.0298,0.0126,0.0295
202105,0.4,train-in,-24.22,-198.15,768.28,True,118.8,0,-0.2277,-0.2538,-0.2164
202105,0.6,train-in,-55.46,-198.15,768.28,True,150.0,0,-0.2553,-0.2567,-0.2077
202106,0.4,train-in,-10.64,-196.08,808.98,True,168.8,0,-0.3684,-0.3682,-0.3521
202112,0.4,train-in,110.27,108.13,649.35,True,350.0,0,-0.547,-0.6537,-0.5592
202202,0.4,train-in,-21.63,-53.3,671.06,True,137.5,0,-0.3947,-0.4718,-0.439
202207,0.4,train-in,-67.09,10.84,619.8,True,512.5,0,-0.8228,-0.8588,-0.7428
