param_set,h_state,n,closed_form,mc,mc_se,z,section,V,kappa1,kappa2,var_ratio,skew_true,ex_kurt,mean_check
A_equity_psi095,calm,1,7.936507936507938e-05,7.936507936507937e-05,0.0,0.0,expected_sum_h,,,,,,,
A_equity_psi095,calm,5,0.00043457291666666666,0.00043455880616711455,1.8633544353334394e-08,0.7572633141899708,expected_sum_h,,,,,,,
A_equity_psi095,calm,21,0.0022866057560128822,0.0022865190020764196,1.4970998283246856e-07,0.5794799706820966,expected_sum_h,,,,,,,
A_equity_psi095,calm,63,0.008475395387153079,0.00847495741584711,5.173804523256793e-07,0.8465169180627556,expected_sum_h,,,,,,,
A_equity_psi095,neutral,1,0.00015873015873015876,0.00015873015873015873,0.0,0.0,expected_sum_h,,,,,,,
A_equity_psi095,neutral,5,0.0007936507936507938,0.0007936299785299457,2.534611947855549e-08,0.821235016496239,expected_sum_h,,,,,,,
A_equity_psi095,neutral,21,0.003333333333333334,0.0033332504578415236,1.8847239999090992e-07,0.4397221652312422,expected_sum_h,,,,,,,
A_equity_psi095,neutral,63,0.010000000000000002,0.009999531522266018,5.791278972705875e-07,0.8089365685753256,expected_sum_h,,,,,,,
A_equity_psi095,stressed,1,0.0003174603174603175,0.00031746031746031746,0.0,0.0,expected_sum_h,,,,,,,
A_equity_psi095,stressed,5,0.0015118065476190479,0.0015117763143084034,3.511184567723459e-08,0.8610572888254517,expected_sum_h,,,,,,,
A_equity_psi095,stressed,21,0.0054267884879742375,0.0054267078636972815,2.48471481823908e-07,0.3244810083001046,expected_sum_h,,,,,,,
A_equity_psi095,stressed,63,0.013049209225693848,0.013048684914391517,6.861486840694189e-07,0.7641365705484618,expected_sum_h,,,,,,,
B_equity_psi098,calm,1,7.936507936507938e-05,7.936507936507937e-05,0.0,0.0,expected_sum_h,,,,,,,
B_equity_psi098,calm,5,0.00041238411428571437,0.00041237191073805797,1.4375647398738675e-08,0.8489042140442736,expected_sum_h,,,,,,,
B_equity_psi098,calm,21,0.0019613325885713996,0.0019612826869157213,1.2982320360035615e-07,0.38438163821559285,expected_sum_h,,,,,,,
B_equity_psi098,calm,63,0.007143073958240806,0.007142603575183984,5.684715929749528e-07,0.8274521763885377,expected_sum_h,,,,,,,
B_equity_psi098,neutral,1,0.00015873015873015876,0.00015873015873015873,0.0,0.0,expected_sum_h,,,,,,,
B_equity_psi098,neutral,5,0.0007936507936507938,0.000793633206391904,2.0006334758140904e-08,0.8790845051031583,expected_sum_h,,,,,,,
B_equity_psi098,neutral,21,0.003333333333333334,0.0033332824947667635,1.7428990421297008e-07,0.29168968105212084,expected_sum_h,,,,,,,
B_equity_psi098,neutral,63,0.010000000000000002,0.009999441201019792,7.06698352374093e-07,0.7907178194661723,expected_sum_h,,,,,,,
B_equity_psi098,stressed,1,0.0003174603174603175,0.00031746031746031746,0.0,0.0,expected_sum_h,,,,,,,
B_equity_psi098,stressed,5,0.0015561841523809524,0.0015561589739367342,2.8061245278830667e-08,0.897267529222308,expected_sum_h,,,,,,,
B_equity_psi098,stressed,21,0.006077334822857203,0.006077280154104843,2.396289096728592e-07,0.228139219240058,expected_sum_h,,,,,,,
B_equity_psi098,stressed,63,0.015713852083518394,0.015713149817602575,9.230077208994492e-07,0.7608451152873685,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,calm,1,0.0001240079365079365,0.0001240079365079365,0.0,0.0,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,calm,5,0.0006323170870535708,0.0006323052419701505,1.5697787993107707e-08,0.7545702251489155,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,calm,21,0.0028488078896485437,0.002848750322683907,1.4732014873640518e-07,0.39076097282267636,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,calm,63,0.009807856435455278,0.00980728472333262,7.066160895567888e-07,0.8090844959614074,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,neutral,1,0.000248015873015873,0.000248015873015873,0.0,0.0,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,neutral,5,0.001240079365079365,0.0012400617799234548,2.1618594709190775e-08,0.8134273363632674,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,neutral,21,0.005208333333333333,0.005208272108108269,1.9936782785928816e-07,0.30709681557793744,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,neutral,63,0.015625,0.015624278406492354,9.169665110456408e-07,0.7869355084989499,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,stressed,1,0.000496031746031746,0.000496031746031746,0.0,0.0,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,stressed,5,0.0024556039211309534,0.0024555782339704827,3.015358660989215e-08,0.8518774500380802,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,stressed,21,0.009927384220702912,0.009927316206539989,2.7538149674723727e-07,0.2469816008939612,expected_sum_h,,,,,,,
C_fx_psi099_lowskew,stressed,63,0.027259287129089444,0.02725833839896408,1.2344495989128041e-06,0.7685450472818984,expected_sum_h,,,,,,,
A_equity_psi095,calm,5,,,,,moments,0.00043457291666666666,0.0003779516369047664,0.00043517569979176815,1.0013870701601126,-0.1998599558900383,0.12722587668036503,4.445228907190568e-18
A_equity_psi095,calm,21,,,,,moments,0.0022866057560128822,0.0013566971219934887,0.002298645705657738,1.0052654243580013,-0.33032200593640465,0.2166574932243974,-7.025630077706069e-17
A_equity_psi095,calm,63,,,,,moments,0.008475395387153079,0.003262302306423326,0.008561300969012996,1.0101358789691548,-0.3299565594270598,0.2027990532408484,-1.3444106938820255e-16
A_equity_psi095,neutral,5,,,,,moments,0.0007936507936507938,0.0001984126984126977,0.0007947989611372353,1.0014466910329163,-0.15423450962289412,0.07268266062531167,-7.047314121155779e-19
A_equity_psi095,neutral,21,,,,,moments,0.003333333333333334,0.0008333333333333526,0.0033522150109760052,1.0056645032928013,-0.294214911684061,0.1645654238597113,1.951563910473908e-17
A_equity_psi095,neutral,63,,,,,moments,0.010000000000000002,0.0024999999999999467,0.010105987351582458,1.0105987351582455,-0.31756879073171473,0.18576334146343104,-5.204170427930421e-17
A_equity_psi095,stressed,5,,,,,moments,0.0015118065476190479,-0.0001606651785714397,0.0015140454838281693,1.0014809673980096,-0.11439206625816632,0.039066977025150204,-1.1058862159352145e-17
A_equity_psi095,stressed,21,,,,,moments,0.0054267884879742375,-0.00021339424398703066,0.005459353621612543,1.0060008112920689,-0.2441954686031736,0.10932219465958183,8.803721640582296e-17
A_equity_psi095,stressed,63,,,,,moments,0.013049209225693848,0.0009753953871527443,0.01319536011672142,1.01119998066548,-0.29367336770779545,0.1561468792130761,-3.3133218391157016e-16
B_equity_psi098,calm,5,,,,,moments,0.00041238411428571437,0.0003890460380952254,0.00041285089517764775,1.0011319080337076,-0.16731404983562734,0.074991195632355,-1.2685165418080402e-17
B_equity_psi098,calm,21,,,,,moments,0.0019613325885713996,0.001519333705714332,0.001971051771021269,1.0049553974203573,-0.3353409620066276,0.19428317138714973,3.165870343657673e-17
B_equity_psi098,calm,63,,,,,moments,0.007143073958240806,0.003928463020879569,0.007227424379993963,1.0118087006023289,-0.4178107226140697,0.2850698181723739,-2.7755575615628914e-17
B_equity_psi098,neutral,5,,,,,moments,0.0007936507936507938,0.0001984126984126977,0.000794566046817871,1.0011532189905172,-0.1228727489280172,0.03970421544442236,-7.047314121155779e-19
B_equity_psi098,neutral,21,,,,,moments,0.003333333333333334,0.0008333333333332416,0.0033506900741834,1.0052070222550198,-0.27022258447060993,0.12227825037493138,-9.150666335777657e-17
B_equity_psi098,neutral,63,,,,,moments,0.010000000000000002,0.0024999999999999467,0.010126512105464905,1.0126512105464902,-0.3780698382927792,0.22710957557201233,-5.204170427930421e-17
B_equity_psi098,stressed,5,,,,,moments,0.0015561841523809524,-0.00018285398095241323,0.0015579963500983183,1.0011645136692808,-0.08860645089802545,0.020448668340079742,-3.230922474006803e-17
B_equity_psi098,stressed,21,,,,,moments,0.006077334822857203,-0.0005386674114289391,0.006109966680507671,1.0053694355505538,-0.20633301587893224,0.06988436019077865,-3.378373969464832e-16
B_equity_psi098,stressed,63,,,,,moments,0.015713852083518394,-0.0003569260417588538,0.01592468755640679,1.0134171730628374,-0.319651466857465,0.1580708439804808,3.434752482434078e-16
C_fx_psi099_lowskew,calm,5,,,,,moments,0.0006323170870535708,0.00027907955171130316,0.0006329311423397186,1.00097111923546,-0.11608253518395877,0.06261242609533652,-6.7220534694101275e-18
C_fx_psi099_lowskew,calm,21,,,,,moments,0.0028488078896485437,0.0010755960551755983,0.0028616858846397175,1.0045204855820455,-0.254188632734401,0.1370227393124619,-1.2988742026376343e-16
C_fx_psi099_lowskew,calm,63,,,,,moments,0.009807856435455278,0.002596071782272391,0.009925332349975516,1.0119777359398905,-0.36199012631487015,0.22766509955705744,3.0357660829594124e-17
C_fx_psi099_lowskew,neutral,5,,,,,moments,0.001240079365079365,-2.4801587301587213e-05,0.00124129529583531,1.000980526561594,-0.08369202013222578,0.03209841035819342,0.0
C_fx_psi099_lowskew,neutral,21,,,,,moments,0.005208333333333333,-0.00010416666666657193,0.005232592571199317,1.004657773670269,-0.19366175141915956,0.07723941230658009,9.454242944073599e-17
C_fx_psi099_lowskew,neutral,63,,,,,moments,0.015625,-0.00031250000000015987,0.0158233810479452,1.0126963870684929,-0.3037758640083574,0.1543992190606961,-1.5959455978986625e-16
C_fx_psi099_lowskew,stressed,5,,,,,moments,0.0024556039211309534,-0.0006325638653273957,0.002458023602826493,1.0009853713274839,-0.05976733238757119,0.016254499541296544,-1.431146867680866e-17
C_fx_psi099_lowskew,stressed,21,,,,,moments,0.009927384220702912,-0.0024636921103515785,0.009974405944318523,1.0047365673142328,-0.14262996064495354,0.041212943866999696,-1.227316859253591e-16
C_fx_psi099_lowskew,stressed,63,,,,,moments,0.027259287129089444,-0.006129643564544374,0.02761947844388464,1.0132135265713103,-0.23922198021095,0.09323051655221604,3.4867941867133823e-16
